first_name;last_name;nickname;team;id
Javier;Vazquez;Showtime;;4706
Javier;Barter;;F Moya JJ;13624
Javier;Zaruski;;Atos;13680
Jacob;Rodriguez;Jay;B Team;13926
Jeferson;Guaresi;;Unity JJ;10506
Jefferson;Moura;;Gracie Barra;1214
Jake;Shields;;Gracie Elite;1031
Jean Jacques;Machado;;Machado JJ;88
Jean;Kleber;;Kimura;235
Jeff;Glover;Pipelayer;Paragon;610
Jeff;Joslin;;;364
Jena;Bishop;;Gracie Humaita;8223
Jeremy;Arel;Gerbil;;1423
Jeremy;Jackson;;CTA;9440
Jeremy;Skinner;;Absolute MMA;12259
Jessa;Khan;;AOJ;11690
Jesse;Urholin;;Alliance;7608
Jessica;Caroline;;PAX JJ;11314
Jessica Cristina;Santos;;Elite BJJ;9202
Jessica;Flowers;Oliveira;Gracie Barra;7817
Jessica;Swanson;;Soul Fighters;9096
Jhenifer;Aquino;;Atos;12551
Joao;Assis;;Checkmat;644
Joao;Cizeski;;FP Team;11960
Joao;Costa;;Fight Sports;12178
Joao;Faria;Johnny;Gracie Humaita;1500
Joao;Mendes;Bisnaga;Atos;9074
Joao;Miyao;;PSLPB;2997
Joao Gabriel;Rocha;;Double Five;2403
Joao Paulo;Neto;;Alliance;8351
Joao;Roque;;Nova Uniao;952
Joao;Zeferino;;Gracie Floripa;521
Joao Alberto;Barreto;;;1719
Joao Paulo;Oliveira;Jones;Strauch Jiu Jitsu;3366
Joe;Baize;;Ocean County BJJ;11114
Joe;Moreira;;;566
Joel;Gingery;;Memphis Judo + BJJ;8369
Joel;Tudor;;;11894
Jorge;Britto;;Jiu-Jitsu For Life Team;8938
Jorge;Patino;Macaco;Macaco Gold Team;720
John;Danaher;;New Wave;623
John;Combs;;Easton Training Centre;6836
John;Crouch;;MMA Lab;3286
John;Kavanagh;;SBG;11195
John;Frankl;;Straight Blast Gym;1569
John;Lewis;;Nova Uniao;3220
John;Salter;;Salty Dog JJ;10531
John;Will;;;705
Johnif;Rocha;;Cicero Costha;12095
Johnny;Tama;;Studio 76;7664
Jon;Blank;;10th Planet;10588
Jonata;Gomes;Be;Checkmat;11248
Jonatha;Alves;;Atos;10085
Jonathan;Calestine;Jon;Renzo Gracie Academy;8767
Jonathan;Thomas;;Valhalla BJJ;9367
Jonatas;Gurgel;Tagarela;American Top Team;975
Jonas;Andrade;;PSLPB;10293
Jonatas;Novaes;;Channel Islands JJ;11084
Jonnatas;Gracie;;Atos;10103
Jordan;Vaisman;;Art Of Jiu-Jitsu;12247
Jose;Aldo;Juninho;Nova Uniao;754
Jose;Carlos Granja;;Kimura / Nova Uniao;7693
Jose;Carlos Sousa;;GF Team;7931
Jose;Leao Teixeira;Ze Beleza;Escola de Jiu Jitsu;2241
Jose;Junior;;;1548
Jose;Marcello;Ze;Icon JJ;12401
Jose Mario;Queiroga;Esfiha;;3357
Jose Mario;Sperry;Ze, Zen Machine, Ze Maquina;Brazilian Top Team;232
Jose;Olimpio;Ze Radiola;Gracie Barra;1633
Josef;Manuel;Ze Cobra;Nova Uniao;650
Jozef;Chen;;B Team;13763
Joseph;Dierkhising;Joe;;12378
Josh;Griffiths;;Clockwork JJ;2095
Josh;Hinger;;Atos;7096
Joshua;Cisneros;;Cleber JJ / Elite Team;11568
Juan Caio;Kamezawa;;Alliance;3313
Juan Miguel;Iturralde;;Alliance;8555
Juan;Lopes da Silva;;Prime Team;7757
Julian;Espinosa;;Renzo Gracie Academy;13775
Julio;dos Anjos Junior;;;7006
Julio;Cesar;;GF Team;203
Julio;Fernandez;Foca;BJJ Revolution;4507
Julius;Park;;Crazy 88;4411
Julia;Alves;;GF Team;12785
Julia;Boscher;;;10370
Juliana;Borges;;;11401
Jurandir;Conceicao;;G13;9711
Jurandir;Moura;;;1377
Justin;Ordinario;;;13801
Justin;Rader;;;1398
JW;Wright;;Gracie Humaita;9114
Jurandir;Moura;;;1377
Jonathan;Torres;JT;Atos;967
Kacie;Tan;;Fortitude BJJ;13028
Kaua;Gabriel;;Escola Melqui Galvao;13834
Kauan;Barboza;;Checkmat;11465
Keenan;Cornelius;;Atos;3009
Keith;Krikorian;;10th Planet;12491
Keith;McKenzie;;Checkmat;1068
Gerry;Costa;Kid Pelligro;;2504
Kade;Ruotolo;;Atos;12005
Kaiser;Girao;;Checkmat;11725
Karel;Pravec;Silver Fox;Renzo Gracie Academy;8173
Kauane;Silva;;Fight Sports;13473
Kaynan;Duarte;;Atos;8974
Kendall;Reusing;;Gracie Barra;10885
Kennedy;Maciel;Cobrinha Junior;Alliance;9031
Kenta;Iwamoto;;;13678
Keven;Carrasco;;Ares;11889
Kevin;Gabriel Alencar;;Dream Art;13507
Kevin;Mahecha;;ATT;6368
Khaled;Alshehi;;;13515
Kieran;Kichuk;;Team Lloyd Irvin;12115
Kit;Dale;;;9758
Kira;Sung;;Seorae JJ;12010
Kjetil;Lydvo;;Frontline;13241
Kody;Steele;;Checkmat;11049
Koji;Shibamoto;;Tri Force;1919
Kyra;Gracie;;;674
Kristen;Martin;;Brazil 021;8981
Kristin;Mikkelson;;Brazil 021;8893
Kron;Gracie;;;788
Kristof;Szucs;;Gracie Barra;12842
Kayron;Gracie;;Gracie Barra;901
Kurt;Osiander;;Ralph Gracie;2475
Kyle;Boehm;;10th Planet;10705
Kleber;Oliveira;Buiu;Gracie Barra;8399
Lachlan;Giles;;Absolute MMA;8682
Larissa;Campos;;Gracie Humaita;9477
Larissa;Dias;;;12508
Larissa;Paes;;Gordo JJ;9938
Laercio;Fernandes;;Team Oyama;1041
Laura;Barker;;Gracie Barra;11071
Laurence;Cousin Fouillat;;;1840
Leandro;Escobar;Tatu;;3028
Leandro;Lima;Rounaud;Fratres;13458
Leandro;Lo;;NS Brotherhood;1188
Leandro;Lora;;Brazil 021;1730
Leandro;Martins;Leu;Checkmat;1799
Leandro;Nyza;;Nova Uniao;1662
Leon;Brito;;BTT;12243
Leon;Larman;;CTA;11132
Levi;Jones-Leary;Xanadu, Levizao;Unity JJ;9014
Livia;Gluchowska;;Maromba;7981
Livio;Ribeiro;Galinho;Ares JJ;9044
Luca;Anacoreta;;Aeterna Jiu Jitsu;7082
Laurah;Hallock;;GF Team;10780
